data,fechamento,abertura,max,min,variacao
2025-12-29,160.49,160.897,161.133,159.702,-0.25
2025-12-30,161.125,160.491,162.075,160.491,0.4
2026-01-02,160.539,161.124,161.957,160.059,-0.36
2026-01-05,161.87,160.542,162.166,160.215,0.83
2026-01-06,163.664,161.87,164.135,161.87,1.11
2026-01-07,161.975,163.661,163.661,161.746,-1.03
2026-01-08,162.936,161.975,162.936,161.748,0.59
2026-01-09,163.37,162.938,164.263,162.638,0.27
2026-01-12,163.15,163.37,163.493,162.277,-0.13
2026-01-13,161.973,163.146,163.146,161.765,-0.72
2026-01-14,165.146,161.974,165.146,161.974,1.96
2026-01-15,165.568,165.18,166.07,164.833,0.26
2026-01-16,164.8,165.557,165.872,164.1,-0.46
2026-01-19,164.849,164.8,165.155,164.265,0.03
2026-01-20,166.277,164.846,166.468,163.575,0.87
2026-01-21,171.817,166.278,171.969,166.278,3.33
2026-01-22,175.589,171.817,177.742,171.817,2.2
2026-01-23,178.859,175.59,180.532,175.59,1.86
2026-01-26,178.721,178.859,179.543,177.694,-0.08
2026-01-27,181.919,178.852,183.36,178.852,1.79
2026-01-28,184.691,181.921,185.065,181.921,1.52
2026-01-29,183.134,184.692,186.45,181.567,-0.84
2026-01-30,181.364,183.133,183.62,180.089,-0.97
2026-02-02,182.793,181.369,182.89,181.348,0.79
2026-02-03,185.674,182.816,187.334,182.816,1.58
2026-02-04,181.708,185.671,185.671,180.269,-2.14
2026-02-05,182.127,181.708,184.017,181.569,0.23
2026-02-06,182.95,182.128,183.262,181.391,0.45
2026-02-09,186.241,182.95,186.46,182.95,1.8
2026-02-10,185.929,186.241,186.959,185.083,-0.17
2026-02-11,189.699,185.936,190.561,185.936,2.03
2026-02-12,187.766,189.694,189.99,186.959,-1.02
2026-02-13,186.464,187.766,187.766,183.662,-0.69
2026-02-18,186.016,186.464,187.657,185.001,-0.24
2026-02-19,188.534,186.02,188.687,185.928,1.35
2026-02-20,190.534,188.531,190.727,186.7,1.06
2026-02-23,188.853,190.532,191.003,188.526,-0.88
